0	0
0.032768	1
0.033484	2
0.034189	3
0.035326	4
0.036816	5
0.037757	6
0.038934	7
0.040922	8
0.042389	9
0.043239	10
0.044029	11
0.044572	12
0.044929	13
0.045209	14
0.045459	15
0.045679	16
0.04588	17
0.046065	18
0.046235	19
0.046398	20
0.046561	21
0.046719	22
0.046869	23
0.047012	24
0.047142	25
0.047262	26
0.047378	27
0.047489	28
0.047599	29
0.047702	30
0.047806	31
0.047907	32
0.048009	33
0.048114	34
0.048217	35
0.048326	36
0.048442	37
0.048562	38
0.048689	39
0.048821	40
0.048966	41
0.049121	42
0.049301	43
0.049503	44
0.049753	45
0.050089	46
0.050591	47
0.051344	48
0.052403	49
0.053705	50
0.055488	51
0.058002	52
0.061352	53
0.066934	54
0.07573	55
0.081962	56
0.086416	57
0.088489	58
0.090172	59
0.092041	60
0.094478	61
0.096152	62
0.09709	63
0.097743	64
0.098234	65
0.098651	66
0.099013	67
0.099365	68
0.099719	69
0.1001	70
0.100479	71
0.100857	72
0.101238	73
0.101597	74
0.101942	75
0.102289	76
0.102642	77
0.103047	78
0.103536	79
0.104199	80
0.10518	81
0.106603	82
0.108606	83
0.111124	84
0.114281	85
0.118657	86
0.123996	87
0.129405	88
0.134953	89
0.140806	90
0.147827	91
0.15654	92
0.164931	93
0.172231	94
0.180582	95
0.190851	96
0.207307	97
0.231941	98
0.278584	99
