0.025564	0
0.031367	1
0.031981	2
0.032497	3
0.032993	4
0.033542	5
0.03419	6
0.034859	7
0.035526	8
0.036307	9
0.037132	10
0.038257	11
0.040404	12
0.042848	13
0.04452	14
0.045445	15
0.045996	16
0.046487	17
0.046969	18
0.047439	19
0.047922	20
0.048396	21
0.048907	22
0.049509	23
0.05041	24
0.051863	25
0.053602	26
0.055005	27
0.05619	28
0.056984	29
0.057468	30
0.057876	31
0.0583	32
0.058724	33
0.059138	34
0.059538	35
0.059949	36
0.060393	37
0.060822	38
0.061257	39
0.061738	40
0.062418	41
0.063888	42
0.067479	43
0.073725	44
0.082633	45
0.084859	46
0.085861	47
0.086565	48
0.08717	49
0.087747	50
0.088425	51
0.089237	52
0.090031	53
0.090923	54
0.092063	55
0.093708	56
0.095523	57
0.096895	58
0.09788	59
0.098601	60
0.099203	61
0.099813	62
0.100524	63
0.101445	64
0.102391	65
0.103309	66
0.104458	67
0.105991	68
0.10763	69
0.108841	70
0.109768	71
0.110474	72
0.111059	73
0.111586	74
0.112096	75
0.112634	76
0.113243	77
0.113989	78
0.114825	79
0.115626	80
0.116515	81
0.117755	82
0.119737	83
0.122426	84
0.12573	85
0.129618	86
0.134126	87
0.138992	88
0.143708	89
0.148422	90
0.153613	91
0.159866	92
0.166203	93
0.173228	94
0.181042	95
0.189854	96
0.203524	97
0.224781	98
0.264744	99
